Generating simulation configurations...
Running 200 simulations...
10              8               team            285                       35.6250                        25         53         7          2          7.8%
19              10              team            292                       29.2000                        39         39         3          5          7.8%
14              6               team            287                       47.8333                        18         61         4          3          7.9%
16              6               individual      284                       47.3333                        14         66         5          2          8.0%
10              6               team            287                       47.8333                        41         42         1          4          8.3%
6               6               individual      285                       47.5000                        40         44         3          6          8.4%
14              8               individual      309                       38.6250                        46         39         3          7          8.5%
13              6               team            283                       47.1667                        54         33         2          4          8.7%
12              6               individual      284                       47.3333                        59         29         6          1          8.8%
6               6               team            277                       46.1667                        57         33         1          1          9.0%
20              8               team            301                       37.6250                        0          90         4          3          9.0%
19              6               team            290                       48.3333                        41         51         1          3          9.2%
16              8               team            280                       35.0000                        45         47         6          0          9.2%
8               8               team            295                       36.8750                        50         44         5          1          9.4%
12              6               team            296                       49.3333                        73         22         3          2          9.5%
14              6               individual      282                       47.0000                        61         39         5          3          10.0%
18              6               team            267                       44.5000                        78         22         1          3          10.0%
8               6               team            289                       48.1667                        24         77         0          4          10.1%
9               6               team            278                       46.3333                        53         50         4          3          10.3%
17              4               individual      266                       66.5000                        50         56         3          1          10.6%
11              6               team            284                       47.3333                        48         59         4          1          10.7%
8               4               individual      268                       67.0000                        60         53         3          3          11.3%
14              4               individual      271                       67.7500                        50         65         0          4          11.5%
12              4               individual      266                       66.5000                        70         45         4          1          11.5%
17              6               team            271                       45.1667                        58         57         2          3          11.5%
20              6               team            275                       45.8333                        34         84         4          2          11.8%
7               6               team            266                       44.3333                        60         58         4          2          11.8%
10              4               individual      271                       67.7500                        58         62         4          3          12.0%
20              4               individual      267                       66.7500                        47         79         3          1          12.6%
7               4               team            265                       66.2500                        91         36         3          1          12.7%
9               4               individual      256                       64.0000                        82         46         2          2          12.8%
11              4               team            278                       69.5000                        58         71         3          3          12.9%
7               4               individual      254                       63.5000                        66         63         4          2          12.9%
14              4               team            269                       67.2500                        64         66         2          2          13.0%
5               4               individual      264                       66.0000                        78         52         2          4          13.0%
18              4               team            249                       62.2500                        64         70         1          3          13.4%
11              4               individual      266                       66.5000                        87         49         2          3          13.6%
4               4               individual      263                       65.7500                        60         76         1          4          13.6%
15              4               individual      252                       63.0000                        58         78         2          2          13.6%
18              4               individual      264                       66.0000                        68         70         2          4          13.8%
16              4               individual      262                       65.5000                        63         77         1          3          14.0%
19              4               individual      271                       67.7500                        88         56         3          2          14.4%
4               4               team            268                       67.0000                        92         53         1          2          14.5%
10              4               team            252                       63.0000                        82         64         3          2          14.6%
13              4               team            267                       66.7500                        61         86         4          2          14.7%
15              4               team            256                       64.0000                        96         51         4          1          14.7%
16              4               team            263                       65.7500                        80         68         2          3          14.8%
13              4               individual      262                       65.5000                        59         89         1          2          14.8%
9               4               team            254                       63.5000                        68         82         1          3          15.0%
20              4               team            251                       62.7500                        72         80         2          1          15.2%
6               4               individual      266                       66.5000                        77         76         2          3          15.3%
5               4               team            249                       62.2500                        94         62         4          1          15.6%
19              4               team            248                       62.0000                        66         90         2          3          15.6%
6               4               team            264                       66.0000                        82         77         1          2          15.9%
12              4               team            248                       62.0000                        62         98         1          2          16.0%
17              4               team            251                       62.7500                        83         80         3          2          16.3%
8               4               team            246                       61.5000                        58         107        2          3          16.5%
11              2               individual      178                       89.0000                        165        110        0          1          27.5%
15              2               individual      177                       88.5000                        157        124        2          2          28.1%
14              2               individual      173                       86.5000                        140        152        2          2          29.2%
14              2               team            179                       89.5000                        161        132        1          2          29.3%
19              2               team            186                       93.0000                        140        154        1          2          29.4%
20              2               team            174                       87.0000                        140        155        1          2          29.5%
7               2               team            182                       91.0000                        164        132        2          1          29.6%
16              2               individual      180                       90.0000                        164        133        2          1          29.7%
4               2               team            177                       88.5000                        162        135        0          1          29.7%
12              2               team            176                       88.0000                        134        164        0          1          29.8%
6               2               individual      182                       91.0000                        155        145        0          2          30.0%
19              2               individual      179                       89.5000                        135        165        1          2          30.0%
10              2               team            174                       87.0000                        149        152        0          2          30.1%
3               2               team            180                       90.0000                        151        151        0          2          30.2%
18              2               team            185                       92.5000                        143        161        2          0          30.4%
13              2               individual      176                       88.0000                        174        132        1          0          30.6%
2               2               individual      177                       88.5000                        153        154        2          2          30.7%
8               2               team            177                       88.5000                        189        119        1          1          30.8%
8               2               individual      174                       87.0000                        150        158        1          2          30.8%
12              2               individual      177                       88.5000                        166        143        1          1          30.9%
7               2               individual      166                       83.0000                        165        144        1          2          30.9%
6               2               team            182                       91.0000                        160        150        1          1          31.0%
9               2               individual      182                       91.0000                        165        146        2          0          31.1%
16              2               team            178                       89.0000                        153        158        2          2          31.1%
5               2               team            178                       89.0000                        157        156        2          1          31.3%
4               2               individual      170                       85.0000                        177        138        2          2          31.5%
17              2               team            175                       87.5000                        174        142        2          1          31.6%
13              2               team            174                       87.0000                        173        143        2          2          31.6%
2               2               team            169                       84.5000                        152        166        0          2          31.8%
3               2               individual      165                       82.5000                        184        135        2          1          31.9%
10              2               individual      173                       86.5000                        158        162        1          2          32.0%
18              2               individual      171                       85.5000                        156        164        1          2          32.0%
20              2               individual      168                       84.0000                        168        155        2          2          32.3%
15              2               team            173                       86.5000                        150        178        2          0          32.8%
17              2               individual      170                       85.0000                        160        168        1          2          32.8%
5               2               individual      169                       84.5000                        189        140        2          1          32.9%
11              2               team            170                       85.0000                        191        140        2          0          33.1%
9               2               team            165                       82.5000                        168        174        2          1          34.2%

--- Recommended Configuration (Lowest Waste, Highest Efficiency) ---
To run the simulation with the least wasteful and most efficient configuration, set these environment variables:
export BELT_LENGTH=17
export NUM_WORKER_PAIRS=8
export STRATEGY=individual

Then run: python simulation.py
